USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
USER-035,PROD-040,view,1770662174
USER-069,PROD-165,view,1770662792
USER-049,PROD-178,purchase,1770662802
USER-012,PROD-089,view,1770665384
USER-001,PROD-035,view,1770667620
USER-074,PROD-126,view,1770667797
USER-068,PROD-159,view,1770669410
USER-056,PROD-137,view,1770670952
USER-024,PROD-053,view,1770672042
USER-011,PROD-042,view,1770672922
USER-065,PROD-116,view,1770673159
USER-046,PROD-124,purchase,1770673425
USER-046,PROD-124,add_to_cart,1770673809
USER-023,PROD-178,view,1770673837
USER-070,PROD-177,view,1770675271
USER-025,PROD-170,add_to_cart,1770676375
USER-040,PROD-075,view,1770676883
USER-061,PROD-191,view,1770676886
USER-073,PROD-106,add_to_cart,1770677066
USER-055,PROD-164,view,1770678006
USER-012,PROD-050,view,1770681107
USER-032,PROD-180,view,1770681405
USER-030,PROD-020,view,1770681890
USER-040,PROD-028,view,1770683158
USER-002,PROD-184,view,1770686905
USER-006,PROD-123,view,1770687091
USER-063,PROD-062,view,1770688115
USER-075,PROD-030,view,1770689172
USER-030,PROD-136,purchase,1770689181
USER-005,PROD-043,view,1770690797
USER-031,PROD-192,view,1770690815
USER-049,PROD-018,add_to_cart,1770691269
USER-022,PROD-029,purchase,1770691438
USER-031,PROD-194,purchase,1770692332
USER-047,PROD-147,view,1770692425
USER-040,PROD-009,view,1770693779
USER-012,PROD-064,view,1770694026
USER-074,PROD-038,add_to_cart,1770694599
USER-009,PROD-173,view,1770695460
USER-038,PROD-076,view,1770696897
USER-073,PROD-100,view,1770698307
USER-047,PROD-018,view,1770698989
USER-047,PROD-153,view,1770699084
USER-020,PROD-008,view,1770699806
USER-012,PROD-029,view,1770700608
USER-044,PROD-057,purchase,1770700624
USER-047,PROD-002,view,1770700653
USER-056,PROD-082,view,1770701689
USER-007,PROD-016,view,1770702253
USER-018,PROD-109,view,1770702348
USER-010,PROD-179,view,1770702777
USER-058,PROD-195,view,1770703181
USER-018,PROD-184,view,1770703585
USER-073,PROD-044,add_to_cart,1770703882
USER-059,PROD-195,purchase,1770704995
USER-032,PROD-156,add_to_cart,1770705028
USER-073,PROD-070,view,1770706277
USER-004,PROD-105,view,1770709742
USER-045,PROD-092,view,1770711685
USER-006,PROD-037,view,1770713540
USER-061,PROD-049,view,1770713795
USER-007,PROD-075,view,1770713951
USER-036,PROD-163,view,1770713980
USER-063,PROD-027,view,1770714246
USER-069,PROD-168,view,1770714785
USER-012,PROD-026,view,1770715773
USER-041,PROD-092,view,1770715951
USER-031,PROD-085,view,1770715961
USER-073,PROD-016,view,1770716025
USER-016,PROD-088,view,1770716362
USER-006,PROD-197,view,1770719187
USER-016,PROD-116,view,1770720569
