USER_ID,AGE_GROUP,STYLE_PREFERENCE,BUDGET_TIER
USER-001,55+,Scandinavian,Mid-Range
USER-002,25-34,Eclectic,Budget
USER-003,55+,Industrial,Premium
USER-004,45-54,Eclectic,Premium
USER-005,25-34,Traditional,Premium
USER-006,45-54,Eclectic,Mid-Range
USER-007,35-44,Scandinavian,Premium
USER-008,55+,Industrial,Budget
USER-009,55+,Modern,Budget
USER-010,45-54,Scandinavian,Premium
USER-011,35-44,Modern,Budget
USER-012,25-34,Modern,Mid-Range
USER-013,45-54,Industrial,Mid-Range
USER-014,35-44,Eclectic,Budget
USER-015,35-44,Traditional,Premium
USER-016,55+,Industrial,Premium
USER-017,55+,Modern,Budget
USER-018,45-54,Eclectic,Premium
USER-019,45-54,Traditional,Mid-Range
USER-020,35-44,Eclectic,Budget
USER-021,25-34,Scandinavian,Premium
USER-022,45-54,Modern,Mid-Range
USER-023,25-34,Modern,Mid-Range
USER-024,35-44,Traditional,Budget
USER-025,55+,Scandinavian,Mid-Range
USER-026,25-34,Modern,Mid-Range
USER-027,35-44,Scandinavian,Premium
USER-028,45-54,Eclectic,Premium
USER-029,45-54,Scandinavian,Mid-Range
USER-030,35-44,Eclectic,Budget
USER-031,25-34,Eclectic,Mid-Range
USER-032,45-54,Scandinavian,Premium
USER-033,55+,Industrial,Premium
USER-034,35-44,Eclectic,Mid-Range
USER-035,55+,Modern,Budget
USER-036,55+,Industrial,Budget
USER-037,55+,Scandinavian,Mid-Range
USER-038,45-54,Modern,Premium
USER-039,35-44,Modern,Premium
USER-040,35-44,Industrial,Mid-Range
USER-041,55+,Scandinavian,Premium
USER-042,35-44,Scandinavian,Budget
USER-043,55+,Modern,Premium
USER-044,45-54,Industrial,Mid-Range
USER-045,35-44,Eclectic,Mid-Range
USER-046,35-44,Modern,Mid-Range
USER-047,45-54,Traditional,Premium
USER-048,45-54,Scandinavian,Budget
USER-049,25-34,Eclectic,Budget
USER-050,35-44,Modern,Budget
USER-051,25-34,Traditional,Mid-Range
USER-052,25-34,Eclectic,Premium
USER-053,35-44,Scandinavian,Budget
USER-054,25-34,Industrial,Premium
USER-055,55+,Modern,Budget
USER-056,35-44,Scandinavian,Budget
USER-057,45-54,Traditional,Premium
USER-058,35-44,Traditional,Premium
USER-059,25-34,Modern,Mid-Range
USER-060,55+,Industrial,Budget
USER-061,55+,Industrial,Premium
USER-062,55+,Scandinavian,Premium
USER-063,35-44,Modern,Premium
USER-064,45-54,Scandinavian,Mid-Range
USER-065,55+,Traditional,Mid-Range
USER-066,45-54,Traditional,Premium
USER-067,55+,Eclectic,Mid-Range
USER-068,55+,Traditional,Budget
USER-069,55+,Industrial,Premium
USER-070,35-44,Industrial,Budget
USER-071,45-54,Modern,Premium
USER-072,45-54,Eclectic,Premium
USER-073,55+,Traditional,Mid-Range
USER-074,55+,Industrial,Premium
USER-075,45-54,Traditional,Budget
