ITEM_ID,CATEGORY,STYLE,PRICE,MATERIAL,ROOM_TYPE,COLOR
PROD-001,Sofas & Seating|Sofas,Scandinavian,2899.0,linen,Living Room,Natural Oak
PROD-002,Sofas & Seating|Sofas,Contemporary,4200.0,bouclé,Living Room,Cream
PROD-003,Sofas & Seating|Sofas,Mid-Century Modern,1899.0,velvet,Living Room|Bedroom,Sage Green
PROD-004,Sofas & Seating|Sofas,Minimalist,3450.0,wool blend,Living Room,Warm Grey
PROD-005,Sofas & Seating|Armchairs,Contemporary,1299.0,leather,Living Room|Home Office,Cognac
PROD-006,Sofas & Seating|Armchairs,Scandinavian,899.0,bouclé,Living Room|Bedroom,Off-White
PROD-007,Sofas & Seating|Armchairs,Mid-Century Modern,1149.0,velvet,Living Room|Home Office,Dusty Blue
PROD-008,Sofas & Seating|Armchairs,Contemporary,1599.0,linen,Living Room|Home Office,Charcoal
PROD-009,Sofas & Seating|Armchairs,Minimalist,799.0,wool blend,Living Room|Bedroom,Oatmeal
PROD-010,Sofas & Seating|Dining Chairs,Scandinavian,449.0,leather,Dining Room,Natural Oak
PROD-011,Sofas & Seating|Dining Chairs,Mid-Century Modern,399.0,linen,Dining Room|Home Office,Forest Green
PROD-012,Sofas & Seating|Dining Chairs,Contemporary,529.0,velvet,Dining Room,Navy
PROD-013,Sofas & Seating|Dining Chairs,Minimalist,299.0,wool blend,Dining Room|Kitchen,Sand
PROD-014,Sofas & Seating|Dining Chairs,Contemporary,649.0,leather,Kitchen|Dining Room,Matte Black
PROD-015,Sofas & Seating|Benches,Scandinavian,899.0,linen,Dining Room,Ivory
PROD-016,Sofas & Seating|Benches,Mid-Century Modern,749.0,bouclé,Hallway,Rust
PROD-017,Sofas & Seating|Benches,Minimalist,599.0,velvet,Bedroom,Blush Pink
PROD-018,Sofas & Seating|Benches,Contemporary,1099.0,wool blend,Bedroom|Living Room,Terracotta
PROD-019,Sofas & Seating|Benches,Scandinavian,849.0,linen,Living Room|Bedroom,Slate
PROD-020,Sofas & Seating|Benches,Mid-Century Modern,699.0,leather,Living Room,Walnut
PROD-021,Sofas & Seating|Sofas,Scandinavian,2899.0,linen,Living Room,Oatmeal
PROD-022,Sofas & Seating|Sofas,Contemporary,4299.0,bouclé,Living Room,Cream
PROD-023,Sofas & Seating|Sofas,Minimalist,1899.0,velvet,Living Room|Home Office,Sage Green
PROD-024,Sofas & Seating|Sofas,Mid-Century Modern,2199.0,leather,Living Room|Home Office,Cognac
PROD-025,Sofas & Seating|Armchairs,Scandinavian,1299.0,wool blend,Living Room|Bedroom,Charcoal
PROD-026,Sofas & Seating|Armchairs,Contemporary,899.0,bouclé,Living Room|Bedroom,Dusty Blue
PROD-027,Sofas & Seating|Armchairs,Mid-Century Modern,1599.0,leather,Home Office|Living Room,Warm Grey
PROD-028,Sofas & Seating|Armchairs,Minimalist,799.0,linen,Bedroom|Home Office,Off-White
PROD-029,Sofas & Seating|Dining Chairs,Scandinavian,599.0,linen,Dining Room,Natural Oak
PROD-030,Sofas & Seating|Dining Chairs,Contemporary,399.0,velvet,Dining Room,Forest Green
PROD-031,Sofas & Seating|Dining Chairs,Mid-Century Modern,749.0,leather,Dining Room|Home Office,Matte Black
PROD-032,Sofas & Seating|Dining Chairs,Minimalist,299.0,wool blend,Dining Room,Sand
PROD-033,Sofas & Seating|Benches,Scandinavian,649.0,linen,Hallway,Cream
PROD-034,Sofas & Seating|Benches,Contemporary,899.0,bouclé,Dining Room,Terracotta
PROD-035,Sofas & Seating|Benches,Minimalist,549.0,velvet,Bedroom|Living Room,Blush Pink
PROD-036,Tables|Coffee Tables,Scandinavian,899.0,solid oak,Living Room,Natural Oak
PROD-037,Tables|Dining Tables,Mid-Century Modern,2899.0,walnut,Dining Room,Walnut
PROD-038,Tables|Side Tables,Minimalist,449.0,marble,Living Room|Bedroom,Off-White
PROD-039,Tables|Desks,Scandinavian,1299.0,ash wood,Home Office,Natural Oak
PROD-040,Tables|Coffee Tables,Contemporary,699.0,glass,Living Room,Warm Grey
PROD-041,Tables|Dining Tables,Scandinavian,2199.0,solid oak,Dining Room,Natural Oak
PROD-042,Tables|Side Tables,Japandi,399.0,walnut,Bedroom,Walnut
PROD-043,Tables|Desks,Industrial,899.0,ash wood,Home Office,Charcoal
PROD-044,Tables|Coffee Tables,Minimalist,1299.0,travertine,Living Room,Cream
PROD-045,Tables|Dining Tables,Contemporary,3199.0,walnut,Dining Room,Walnut
PROD-046,Tables|Side Tables,Organic Modern,329.0,solid oak,Living Room|Hallway,Natural Oak
PROD-047,Tables|Desks,Minimalist,799.0,glass,Home Office,Matte Black
PROD-048,Tables|Coffee Tables,Mid-Century Modern,1099.0,walnut,Living Room,Walnut
PROD-049,Tables|Dining Tables,Scandinavian,1899.0,solid oak,Dining Room,Natural Oak
PROD-050,Tables|Side Tables,Contemporary,649.0,marble,Living Room|Bedroom,Sage Green
PROD-051,Tables|Desks,Industrial,1599.0,ash wood,Home Office,Charcoal
PROD-052,Tables|Coffee Tables,Japandi,899.0,glass,Living Room,Off-White
PROD-053,Tables|Dining Tables,Minimalist,1299.0,walnut,Dining Room|Kitchen,Walnut
PROD-054,Tables|Side Tables,Organic Modern,799.0,ash wood,Hallway|Living Room,Sand
